datetime,price_usd,price_gram_24k,price_gram_22k,price_gram_21k,change_percent
2026-06-14 08:44:00.830296,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:46:03.377806,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:48:01.803634,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:50:02.776139,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:36:00.877570,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:40:00.482539,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:46:00.313062,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:48:02.101516,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:50:02.135938,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:52:01.056850,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:56:00.725385,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 10:58:01.134035,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:00:00.648504,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:02:00.757679,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:04:00.869396,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:06:05.771462,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:08:01.100682,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:10:01.132232,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:12:00.871647,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:14:00.500853,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:16:10.065401,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:18:00.807159,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:20:00.919373,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:22:01.057762,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:24:04.588144,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:26:00.500884,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:28:00.794890,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:30:00.715349,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:32:04.705275,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:34:04.275504,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:36:01.361883,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:38:04.958035,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:40:01.821153,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:42:01.187077,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:44:01.311147,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:46:01.624587,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:48:01.147214,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:50:04.621955,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:52:00.952594,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 11:54:02.494005,4219.395,135.6567,124.352,118.6996,0.17
